pais;departamento;municipio;comunidad
GUATEMALA;Baja Verapaz Centro;Purulha;Aldea Ribacó
GUATEMALA;Baja Verapaz Centro;Purulha;Caserío Jalaute
GUATEMALA;Baja Verapaz Centro;Purulha;Caserío La Nueva Esperanza
GUATEMALA;Baja Verapaz Centro;Purulha;Cumbre Sacsamani
GUATEMALA;Baja Verapaz Centro;Purulha;Jalaute Cementerio
GUATEMALA;Chiquimula Oriente;Camotán;Caserío El Zarzal
GUATEMALA;Chiquimula Oriente;Esquipulas;Aldea Los Horcones Caserío El Duraznal
GUATEMALA;Chiquimula Oriente;Esquipulas;Caserío El Mojón
GUATEMALA;Chiquimula Oriente;Esquipulas;Caserío La Cuestona
GUATEMALA;Chiquimula Oriente;Esquipulas;La Granadilla
GUATEMALA;Huehuetenango Occidente;Chiantla;Caserío Escapuxzi
GUATEMALA;Huehuetenango Occidente;Chiantla;Caserío los Pozos
GUATEMALA;Huehuetenango Occidente;Chiantla;Las Majadas
GUATEMALA;Huehuetenango Occidente;Malacancito San Juan Ixcoy;Xepon Chiquito Aldea Ocheval
GUATEMALA;Huehuetenango Occidente;San Mateo Ixtatán;Aldea Nuevo Triunfo
GUATEMALA;Huehuetenango Occidente;San Mateo Ixtatán;Pojóm
GUATEMALA;Huehuetenango Occidente;Santa Cruz Barillas;Aldea Centinela Grande
GUATEMALA;Huehuetenango Occidente;Santa Cruz Barillas Santa Cruz Barillas;Aldea Cocolá Grande Aldea Jordán
GUATEMALA;Izabal Nor-Oriente;El Estor;Aldea Chapin Abajo
GUATEMALA;Izabal Nor-Oriente;El Estor;Aldea Sexan Lote 11
GUATEMALA;Izabal Nor-Oriente;El Estor;Caserío Balandra
GUATEMALA;Izabal Nor-Oriente;El Estor;Caserío Rió Sauce Sexan
GUATEMALA;Izabal Nor-Oriente;El Estor;Caserío Semuy Lote 14
GUATEMALA;Izabal Nor-Oriente;El Estor;Playa Pataxte
GUATEMALA;Peten Norte;Dolores;Caserío Brisas de Chiquibul
GUATEMALA;Peten Norte;Dolores;Caserío Monte de los Olivos
GUATEMALA;Peten Norte;Dolores;Caserío Nuevas Delicias
GUATEMALA;Peten Norte;Dolores;Caserio Santa Amelia
GUATEMALA;Peten Norte;Dolores;Comunidad Valle de la Esmeralda
GUATEMALA;Peten Norte;Dolores;Sacul Arriba
GUATEMALA;Peten Norte;Flores;Aldea Uaxactun
GUATEMALA;Peten Norte;La Libertad;Caserío El Paraíso KM 107
GUATEMALA;Peten Norte;La Libertad;Caserío Guatelinda San Diego (Primaria)
GUATEMALA;Peten Norte;La Libertad;Caserío Los Cerritos
GUATEMALA;Peten Norte;La Libertad;Caserío Nueva Vista Hermosa
GUATEMALA;Peten Norte;La Libertad;Caserío Tamariz Las Vegas
GUATEMALA;Peten Norte;La Libertad;Comunidad La Pista km 35
GUATEMALA;Peten Norte;San Andrés;Aldea Carmelita
GUATEMALA;Peten Norte;San Andrés San Andrés;Aldea Paso Caballos
GUATEMALA;Peten Norte;San Andrés;Caserío Cruce La Colorada
GUATEMALA;Peten Norte;San Andrés San Andrés;Caserío Cruce Santa Amelia
GUATEMALA;Peten Norte;San Andrés;Caserío Rey Balantun
GUATEMALA;Peten Norte;San Andrés;La Unión Laguna Perdida
GUATEMALA;Peten Norte;San Andrés;San Antonio las Brisas
GUATEMALA;Peten Norte;San Francisco;Nueva Concepción
GUATEMALA;Peten Norte;San Francisco;Nueva Guatemala Tecun Uman (Primaria)
GUATEMALA;Peten Norte;San Francisco;San Martín Las Flores
GUATEMALA;Quiche Occidente;Chajul;Aldea Amajchel
GUATEMALA;Quiche Occidente;Chajul;Aldea Chemal
GUATEMALA;Quiche Occidente;Chicamán;Aldea Chitas
GUATEMALA;Quiche Occidente;Chicamán;Aldea el Amay
GUATEMALA;Quiche Occidente;Chicamán;Aldea El Pajuil
GUATEMALA;Quiche Occidente;Chicamán;Aldea la Campana
GUATEMALA;Quiche Occidente;Chicamán;Aldea Pajales
GUATEMALA;Quiche Occidente;Chicamán;Aldea Rosario Monte María
GUATEMALA;Quiche Occidente;Chicamán Joyabaj;Aldea Sacrabina Lote 3 Caserío Xepepen
GUATEMALA;Quiche Occidente;Joyabaj;Nimchaj
GUATEMALA;Quiche Occidente;Joyabaj Nebaj;Xeoj
GUATEMALA;Quiche Occidente;Nebaj;Aldea Santa Marta
GUATEMALA;Quiche Occidente;Uspantán;Aldea el Teroso 9 de marzo
GUATEMALA;Quiche Occidente;Uspantán;Aldea La Taña
GUATEMALA;Quiche Occidente;Uspantán;Aldea Los Cerritos
GUATEMALA;Quiche Occidente;Uspantán;Aldea Río Azul
GUATEMALA;Quiche Occidente;Uspantán;Comunidad Sn Marcos; El Triunfo
GUATEMALA;Quiche Occidente;Uspantán;Concepción Chiguatal
GUATEMALA;Quiche Occidente;Uspantán;El Olimpo
GUATEMALA;Quiche Occidente;Uspantán;El Paraíso
